identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
shield_frenzy,狂潮护盾,"连击≥{0}时，每回合开始自动获得1点护盾",shield_frenzy,护盾,"阶段六回合收尾时检测：若本回合连击数达到{0}或以上，则在下一回合的阶段六回合收尾时自动获得1点护盾。高连击的持续奖励，让狂暴的节奏转化为稳固的防护。",green,0,5|4|3,3,1,4,3,5,shield_combo,2,0,0
shield_echo,护盾回响,"本回合生成的护盾的{0}%在下回合产生等量回响护盾",shield_echo,护盾,"阶段六回合收尾时触发：记录本回合通过技能和消除生成的总护盾值，在下回合的阶段一开始时，生成等量×{0}%的回响护盾。护盾生生不息，如回音般在回合间回荡。",green,0,25|40|60,3,1,4,3,5,shield_momentum,2,0,0
shield_shock,护盾震击,"护盾溢出伤害使敌人眩晕{0}回合",shield_shock,护盾,"阶段二伤害结算时触发：当通过护盾转化产生的溢出伤害命中敌人时，额外附加眩晕效果，使目标在{0}回合内无法移动。控制与伤害的完美结合，打乱敌人的进攻节奏。",green,0,1|1|2,3,1,4,3,5,shield_flow,2,0,0
shield_storm,护盾风暴,"回合开始时消耗50%护盾，造成消耗值×{0}的全体伤害",shield_storm,护盾,"阶段六回合收尾时触发：自动消耗当前护盾值的50%，对场上所有敌人造成消耗值×{0}的伤害。以盾为刃，攻防一体。高风险高回报，适合护盾充裕时的爆发清场。",green,0,0.8|1|1.2,3,1,5,5,4,shield_flow,2,0,0
shield_zenith,护盾巅峰,"护盾上限+{0}，护盾满时所有护盾效果翻倍",shield_zenith,护盾,"被动效果，始终生效：角色护盾上限额外增加{0}点。此外，当护盾值处于最大值时，所有与护盾相关的效果（叠盾速率、反弹伤害、转化效率等）数值翻倍。终极护盾词条，巅峰状态下的王者姿态。",green,0,5|8|10,3,1,5,5,3,shield_flow,3,0,0
shield_revenge,复仇印记,"荆棘反弹伤害后标记敌人，使其受到伤害+{0}%",shield_revenge,护盾,"阶段二伤害结算时触发：当荆棘护盾对敌人造成反弹伤害后，对该敌人施加复仇印记，持续1回合。带有印记的敌人受到的所有来源伤害增加{0}%。标记即宣判，让反击成为集火的信号。",green,0,20|35|50,3,1,4,3,5,shield_thorns,2,0,0
shield_pulse,护盾脉冲,"每{0}回合，护盾自动释放脉冲造成护盾值×0.5的范围伤害",shield_pulse,护盾,"阶段三自动技能阶段触发：每隔{0}回合，护盾会自动释放一次能量脉冲，对角色前方范围内的所有敌人造成当前护盾值×0.5的伤害。无需操作，自动输出，让防御本身成为一种武器。",green,0,3|2|2,3,1,5,5,4,shield_thorns,2,0,0
shield_release,蓄能释放,"回合开始时，释放储存伤害的{0}%作为全体伤害",shield_release,护盾,"阶段六回合收尾时触发：自动消耗护盾蓄能中储存的全部伤害值，将其中的{0}%转化为对全体敌人的伤害。平时默默吸收，积蓄的力量一朝释放便是天崩地裂。",green,0,80|100|120,3,1,4,3,5,shield_absorb,2,0,0
shield_siphon,生命虹吸,"蓄能释放时，将造成伤害的{0}%转化为生命回复",shield_siphon,护盾,"阶段六回合收尾时触发（与蓄能释放同步）：当蓄能释放造成伤害时，额外将伤害值的{0}%转化为角色生命值回复。攻守转换的极致——敌人的暴力被吸收、转化为守护生命的力量。",green,0,20|35|50,3,1,4,3,5,shield_absorb,2,0,0
shield_fortress,堡垒护盾,"护盾被击破时，获得{0}回合无敌状态",shield_fortress,护盾,"阶段二伤害结算时触发：当护盾值被伤害清空的瞬间，角色获得{0}回合的无敌状态，期间免疫所有伤害。盾破之时恰是最安全之刻，让敌人以为的破绽变成铜墙铁壁。",green,0,1|1|2,3,1,4,3,5,shield_retaliate,2,0,0
shield_ripple,涟漪护盾,"护盾被击破时，所有友方单位获得{0}点护盾",shield_ripple,护盾,"阶段二伤害结算时触发：当护盾被击破的瞬间，如同水面涟漪般扩散能量，场上所有友方单位（包括召唤物和其他角色）各获得{0}点护盾。牺牲一盾，护佑全队。",green,0,1|2|3,3,1,4,3,5,shield_retaliate,2,0,0
shield_rebirth,护盾重生,"护盾被完全耗尽后，自动恢复{0}点护盾",shield_rebirth,护盾,"阶段六回合收尾时触发：当角色在本回合的任意阶段护盾被完全耗尽后，回合结束时自动恢复{0}点护盾。野火烧不尽，春风吹又生——护盾永远不会真正消失。",green,0,2|3|5,3,1,5,5,3,shield_phoenix,2,0,0
shield_blessing,护盾祝福,"使用技能后，护盾获取量+{0}%，持续2回合",shield_blessing,护盾,"阶段三自动技能阶段触发：每当角色使用任意主动技能后，获得护盾祝福效果，持续2回合。祝福期间，所有来源的护盾获取量提升{0}%。技能与护盾的联动，让每一次施法都成为叠盾的契机。",green,0,50|75|100,3,1,5,5,3,shield_phoenix,2,0,0
shield_link,共鸣链接,"获得护盾时，召唤物也获得{0}%的护盾值",shield_link,护盾,"阶段一至阶段六任意阶段护盾获取时触发：每当角色获得护盾值时，场上所有召唤物同时获得该护盾值的{0}%。护盾不再独享，全员共享的防御网络让团队韧性倍增。",green,0,20|35|50,3,1,5,5,3,shield_barrier,2,0,0
shield_mirror,护盾镜像,"护盾被击破时，复制上一道音波，威力{0}%",shield_mirror,护盾,"阶段二伤害结算时触发：当护盾值被伤害清空的瞬间，自动复制本回合上一道发射的音波，以{0}%的原始威力向右侧重新发射。破碎的护盾化为回响的音波，让敌人付出双重代价。",green,0,50|75|100,3,1,5,5,3,shield_surge,2,0,0
