identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
microChain,轻量连线,3-4格连线时伤害×{0},microChain,少,阶段二：当你消除3至4个音符时，该次攻击的最终伤害乘以{0}倍。小而精准，自有其力。,blue,,1.5|2.0|2.5,3,1,3,3,7,,,0,0
microShield,轻量护盾,3-4格连线获得{0}点护盾,microShield,少,阶段二：当你消除3至4个音符时，获得{0}点护盾，可抵消等量伤害，护盾持续至被消耗。,green,,2|4,2,1,4,4,6,microChain,1,0,0
microHeal,轻量治愈,3-4格连线回复{0}点HP,microHeal,少,阶段二：当你消除3至4个音符时，立即回复{0}点生命值。微小的连线也有温度。,green,,1|2,2,1,4,4,6,microChain,1,0,0
microPoison,轻量中毒,3-4格连线附加{0}层中毒,microPoison,少,阶段二：消除3至4个音符时，对目标附加{0}层中毒效果，每层每回合造成1点伤害，持续3回合。,blue,,1|2,2,1,4,4,5,microShield,1,0,0
microFreeze,轻量冻结,3-4格连线有{0}%概率冻结目标,microFreeze,少,阶段二：消除3至4个音符时，有{0}%概率冻结目标1回合，冻结期间怪物无法移动和攻击。,blue,,20|35,2,1,4,4,5,microHeal,1,0,0
microBurst,轻量爆发,3-4格连线额外造成{0}%伤害,microBurst,少,阶段二：消除3至4个音符时，额外追加一次{0}%威力的音波攻击。小巧亦可爆发。,blue,,30|50,2,1,4,4,7,microChain,2,0,0
microEcho,轻量回音,3-4格连线后下回合+{0}%伤害,microEcho,少,阶段六：本回合进行3-4格连线后，下回合首次操作伤害提升{0}%。余音不绝，绕梁三日。,green,,20|35,2,1,4,4,5,microBurst,1,0,0
microFocus,轻量专注,连续小连线每层+{0}%伤害,microFocus,少,阶段二：连续进行3-4格连线时，每次获得一层专注，每层伤害+{0}%，最多5层。非小连线操作重置。,blue,,10|15,2,1,5,5,4,microEcho,2,0,0
colorBan,色彩禁锢,每消除{0}个标记色音符+1伤害,colorBan,少,阶段六：标记一种颜色，回合结束时统计该色被消除的音符数量，每{0}个额外获得1点伤害加成，在下回合阶段二生效。,green,,3|2,2,1,4,4,7,rareColorSuppress,1,0,0
gridPurify,棋盘净化,标记{0}格音符消除伤害+50%,gridPurify,少,阶段一：每回合可标记棋盘上{0}个位置。被标记位置的音符被消除时，伤害额外提升50%。,green,,1|2,2,1,4,4,7,rareColorSuppress,1,0,0
precisionReward,精准奖赏,消除标记色音符额外+{0}伤害,precisionReward,少,阶段二：当你消除的音符颜色与色彩禁锢标记的目标色一致时，额外获得{0}点伤害加成。,blue,,2|4,2,1,4,4,6,colorBan,1,0,0
emptyTile,空灵格,每消除{0}个音符生成1个空格,emptyTile,少,阶段六：每消除{0}个音符时，在棋盘上随机生成1个空格。空格无法被选中，为你创造更纯粹的操作空间。,green,,5|3,2,1,4,4,6,gridPurify,1,0,0
colorShift,色韵转化,转化{0}个非目标色为目标色,colorShift,少,阶段一：每回合可将{0}个非目标色的音符转化为你选择的颜色，便于精准连线操作。,green,,2|3,2,1,4,4,5,precisionReward,1,0,0
soloVision,单格视野,揭示{0}格外怪物的弱点色,soloVision,少,阶段一：获得{0}格外视野，揭示远处怪物的弱点颜色信息，让你提前规划精准操作。,green,,1|2,2,1,5,5,4,colorShift,2,0,0
echoChamber,回音密室,空格旁音符消除伤害+{0}%,echoChamber,少,阶段二：当被消除的音符周围存在空格时，其造成的伤害额外提升{0}%。空白让回音更加持久。,blue,,30|50,2,1,5,5,4,emptyTile,2,0,0
loneWolf,孤狼,全回合仅单格操作时伤害×{0},loneWolf,少,阶段二：若本回合所有操作均为单格消除，则所有单格操作的伤害乘以{0}倍。真正的独行者不需要伙伴。,blue,,1.5|2.0,2,1,5,5,3,soloDomain,2,0,0
voidStrike,虚空一击,单格操作有{0}%概率直接消灭,voidStrike,少,阶段二：消除1个音符时，有{0}%概率触发虚空一击，直接消灭目标怪物（对Boss无效）。,blue,,5|10,2,1,5,5,4,microFocus,2,0,0
antiChain,反链之力,未用大连线时下回合+{0}%伤害,antiChain,少,阶段六：若本回合未进行任何≥5格的连线操作，下回合获得{0}%伤害加成。越精简，越有力。,blue,,15|30,2,1,5,5,4,microPoison,2,0,0
flawlessFlow,无瑕律动,满血时小连线伤害+{0}%,flawlessFlow,少,阶段二：当前生命值为满时，所有3-4格连线的伤害额外提升{0}%。完美的状态带来完美的节奏。,green,,20|40,2,1,5,5,4,microFreeze,2,0,0
soloCommander,独格指挥官,单格操作时召唤物+{0}攻击,soloCommander,少,阶段四：每次进行单格消除时，所有召唤物在本回合的攻击力提升{0}点。,green,,1|2,2,1,5,5,3,loneWolf,1,0,0
